toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_38_425264,0,BTC,USDT,HitBtc,Kucoin,0.0699174469287993,497.32,0.0254103690937296,181.06031445,7103.61,7101.6,0.0007,0.0008,7098.637473,7107.285828662931,-8.648355662930953,70.98637473,71.07285828662931,-0.08648355662930954,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_42_792999,1,BTC,USDT,HitBtc,Kucoin,0.0699174469287993,497.32,0.0254103690937296,181.06031445,7103.62,7101.9,0.0007,0.0008,7098.647465999999,7107.586068855084,-8.938602855084355,70.98647466,71.07586068855083,-0.08938602855084354,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_43_122564,2,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7104.05,7102.2,0.00075,0.0008,7098.7219625,7107.886309047238,-9.164346547237983,70.987219625,71.07886309047238,-0.09164346547237984,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_43_527817,3,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7104.08,7102.1,0.00075,0.0008,7098.75194,7107.786228983187,-9.034288983187253,70.9875194,71.07786228983187,-0.09034288983187252,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_43_908385,4,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7104.31,7102.1,0.00075,0.0008,7098.9817675,7107.786228983187,-8.80446148318697,70.98981767500001,71.07786228983187,-0.08804461483186969,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_44_242123,5,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7104.45,7102.1,0.00075,0.0008,7099.1216625,7107.786228983187,-8.664566483187627,70.99121662499999,71.07786228983187,-0.08664566483187627,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_44_558700,6,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7104.85,7102.1,0.00075,0.0008,7099.521362500001,7107.786228983187,-8.264866483186779,70.995213625,71.07786228983187,-0.0826486648318678,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_44_859331,7,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7105.03,7101.7,0.00075,0.0008,7099.7012275,7107.385908726981,-7.684681226981411,70.997012275,71.07385908726981,-0.07684681226981412,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_45_343010,8,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7104.43,7101.7,0.00075,0.0008,7099.1016775,7107.385908726981,-8.28423122698132,70.991016775,71.07385908726981,-0.08284231226981319,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x103e359d0>,20_04_19__23_45_45_677904,9,BTC,USDT,Binance,Kucoin,0.0520990669729286,370.99042254,0.0254103690937296,181.06031445,7104.72,7101.7,0.00075,0.0008,7099.39146,7107.385908726981,-7.994448726981318,70.9939146,71.07385908726981,-0.07994448726981318,0.14742688299545748,1049.37073699,False,threshold
