toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_32_607728,0,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7094.17,0.00075,0.0007,7095.6242875,7099.139397578305,-3.5151100783050424,70.956242875,70.99139397578305,-0.03515110078305043,-0.03515110078305043,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_35_729139,1,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7094.38,0.00075,0.0007,7095.6242875,7099.349544681278,-3.7252571812778115,70.956242875,70.99349544681277,-0.037252571812778114,-0.03515110078305043,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_36_028234,2,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7094.28,0.00075,0.0007,7095.6242875,7099.249474632243,-3.6251871322428997,70.956242875,70.99249474632244,-0.036251871322429,-0.03515110078305043,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_36_327724,3,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7094.14,0.00075,0.0007,7095.6242875,7099.109376563595,-3.4850890635952965,70.956242875,70.99109376563595,-0.034850890635952966,-0.034850890635952966,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_36_676074,4,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7093.93,0.00075,0.0007,7095.6242875,7098.899229460623,-3.274941960623437,70.956242875,70.98899229460623,-0.03274941960623437,-0.03274941960623437,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_37_028116,5,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7093.78,0.00075,0.0007,7095.6242875,7098.749124387071,-3.124836887071069,70.956242875,70.9874912438707,-0.031248368870710693,-0.031248368870710693,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_37_385521,6,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7093.46,0.00075,0.0007,7095.6242875,7098.428900230161,-2.8046127301613524,70.956242875,70.98428900230161,-0.028046127301613523,-0.028046127301613523,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_37_753778,7,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7093.26,0.00075,0.0007,7095.6242875,7098.228760132093,-2.604472632093348,70.956242875,70.98228760132093,-0.02604472632093348,-0.02604472632093348,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_38_310893,8,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7093.01,0.00075,0.0007,7095.6242875,7097.978585009507,-2.354297509506978,70.956242875,70.97978585009507,-0.02354297509506978,-0.02354297509506978,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1006669d0>,20_04_20__00_01_38_614475,9,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7094.27,0.00075,0.0007,7095.6242875,7099.23946762734,-3.615180127339954,70.956242875,70.9923946762734,-0.03615180127339954,-0.02354297509506978,0.1478606583034486,1049.37073699,False,threshold
