toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_48_615925,0,BTC,USDT,HitBtc,Kucoin,0.0691008223969741,497.32,0.0252981765474374,181.06031445,7189.23,7185.9,0.0007,0.0008,7184.197538999999,7191.653322658126,-7.455783658127075,71.84197538999999,71.91653322658127,-0.07455783658127076,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_51_739068,1,BTC,USDT,HitBtc,Kucoin,0.0691008223969741,497.32,0.0252981765474374,181.06031445,7189.1,7186.4,0.0007,0.0008,7184.0676300000005,7192.153722978383,-8.086092978382112,71.84067630000001,71.92153722978382,-0.08086092978382112,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_52_090848,2,BTC,USDT,HitBtc,Kucoin,0.0691008223969741,497.32,0.0252981765474374,181.06031445,7187.38,7186.9,0.0007,0.0008,7182.348833999999,7192.654123298638,-10.305289298638854,71.82348834,71.92654123298638,-0.10305289298638855,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_52_445211,3,BTC,USDT,Kucoin,Kucoin,0.0252981765474374,181.06031445,0.0252981765474374,181.06031445,7186.8,7186.0,0.0008,0.0008,7181.05056,7191.753402722178,-10.702842722178502,71.8105056,71.91753402722178,-0.10702842722178503,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_53_192665,4,BTC,USDT,Kucoin,Kucoin,0.0252981765474374,181.06031445,0.0252981765474374,181.06031445,7186.8,7186.0,0.0008,0.0008,7181.05056,7191.753402722178,-10.702842722178502,71.8105056,71.91753402722178,-0.10702842722178503,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_53_603798,5,BTC,USDT,Kucoin,Kucoin,0.0252981765474374,181.06031445,0.0252981765474374,181.06031445,7186.8,7186.0,0.0008,0.0008,7181.05056,7191.753402722178,-10.702842722178502,71.8105056,71.91753402722178,-0.10702842722178503,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_53_914100,6,BTC,USDT,Kucoin,Kucoin,0.0252981765474374,181.06031445,0.0252981765474374,181.06031445,7186.8,7186.0,0.0008,0.0008,7181.05056,7191.753402722178,-10.702842722178502,71.8105056,71.91753402722178,-0.10702842722178503,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_54_229785,7,BTC,USDT,Kucoin,Kucoin,0.0252981765474374,181.06031445,0.0252981765474374,181.06031445,7186.8,7186.0,0.0008,0.0008,7181.05056,7191.753402722178,-10.702842722178502,71.8105056,71.91753402722178,-0.10702842722178503,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_54_733103,8,BTC,USDT,Kucoin,Binance,0.0252981765474374,181.06031445,0.0516101708307609,370.99042254,7186.8,7185.74,0.0008,0.00075,7181.05056,7191.133350012509,-10.082790012509577,71.8105056,71.9113335001251,-0.10082790012509577,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10bc529d0>,20_04_20__08_00_55_037592,9,BTC,USDT,Kucoin,Binance,0.0252981765474374,181.06031445,0.0516101708307609,370.99042254,7186.8,7185.74,0.0008,0.00075,7181.05056,7191.133350012509,-10.082790012509577,71.8105056,71.9113335001251,-0.10082790012509577,-0.07455783658127076,0.1460091697751724,1049.37073699,False,threshold
