toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC_IN,TTL_BALANCE_US_IN,proceed,description
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_39_155347,0,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7044.71,7042.4,0.0007,0.0008,7039.778703,7048.038430744596,-8.259727744595693,70.39778703,70.48038430744596,-0.08259727744595693,-0.08259727744595693,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_41_118369,1,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7044.96,7042.4,0.0007,0.0008,7040.028528,7048.038430744596,-8.00990274459582,70.40028528,70.48038430744596,-0.0800990274459582,-0.0800990274459582,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_41_407849,2,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.1,7042.4,0.0007,0.0008,7040.16843,7048.038430744596,-7.870000744595927,70.4016843,70.48038430744596,-0.07870000744595927,-0.07870000744595927,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_41_683796,3,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.1,7042.4,0.0007,0.0008,7040.16843,7048.038430744596,-7.870000744595927,70.4016843,70.48038430744596,-0.07870000744595927,-0.07870000744595927,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_41_998595,4,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.12,7042.4,0.0007,0.0008,7040.188416,7048.038430744596,-7.850014744595683,70.40188416,70.48038430744596,-0.07850014744595683,-0.07850014744595683,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_42_338086,5,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.2,7043.3,0.0007,0.0008,7040.26836,7048.939151321058,-8.67079132105755,70.4026836,70.48939151321058,-0.0867079132105755,-0.07850014744595683,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_42_634130,6,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.53,7042.7,0.0007,0.0008,7040.598128999999,7048.33867093675,-7.74054193675056,70.40598128999999,70.4833867093675,-0.0774054193675056,-0.0774054193675056,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_42_923076,7,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.69,7042.7,0.0007,0.0008,7040.758016999999,7048.33867093675,-7.580653936750423,70.40758016999999,70.4833867093675,-0.07580653936750423,-0.07580653936750423,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_43_241037,8,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.7,7042.7,0.0007,0.0008,7040.76801,7048.33867093675,-7.570660936749846,70.4076801,70.4833867093675,-0.07570660936749846,-0.07570660936749846,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_45_43_525730,9,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7045.7,7043.3,0.0007,0.0008,7040.76801,7048.939151321058,-8.171141321057803,70.4076801,70.48939151321058,-0.08171141321057804,-0.07570660936749846,0.1898045861645017,1335.3431994799998,False,threshold
